Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content TypeAbstract,Title-fixec,Authors-fixed
COGNITIVE APPROACH TO MUSICAL DATA ANALYSIS,Perception-Based Data Processing in Acoustics,,,,10.1007/11412595_4,Professor Bo ena Kostek,2005,http://link.springer.com/chapter/10.1007/11412595_4,Chapter,"Digital signal processing is one of the most rapidly developing areas of science. With the explosive expansion of the Internet, the number of very demanding computer network users increases. Content analysis and searching for specific content are relatively new areas, and therefore new concepts and algorithms of processing them appear quite often. Currently there are no faultless solutions. Sound data analysis is connected with difficulties in analytical description as well as with significant redundancy characterized by high entropy included in the very type of information. Such characteristics also prevail for sound separation problems, hence the number of algorithms for sound separation from musical material. In addition, one should notice that there are some limitations regarding percussion sounds and other non-harmonic sources. Easy extraction of such sounds by means of existing algorithms is not possible. Therefore one could state that such instruments are a source of noise for an algorithm, which makes its operation more difficult, and decreases the accuracy and credibility of the result. Concurrently, one should select the musical material for analysis based on the instrumentation, avoiding non-harmonic sounds. In addition, the articulation such as glissando or tremolo causes the problem of detecting fundamental frequency in the spectrum. Another important factor should also be considered: the music of Western culture is based on simple relations of frequency to fundamental frequency. Therefore it is an obvious consequence that harmonic tones overlap in the spectrum, which makes the operation of most algorithms more difficult. The most basic notion in musical acoustics i.e. sound timbre, as mentioned in Chapter 2, remains unresolved, even if many important research works have been done in the field (e.g. McAdams et al 1995; Cosi et al 1994; Grey 1997; Krimphoff et al 1994; De Poli and Prandoni 1997; Toiviainen et al 1998, Wessel 1979).",Bo ena Kostek,
"Proceedings of the World Molecular Imaging Congress 2014, Seoul, Korea, September 17-20, 2014",Molecular Imaging and Biology,,17,1,10.1007/s11307-014-0809-1,,2015,http://link.springer.com/article/10.1007/s11307-014-0809-1,Article,,,"Proceedings of the World Molecular Imaging Congress 2014, Seoul, Korea, September 17-20, 2014"
63RD ASMS Conference on Mass Spectrometry and Allied Topics,Journal of The American Society for Mass Spectrometry,,26,1,10.1007/s13361-015-1158-2,,2015,http://link.springer.com/article/10.1007/s13361-015-1158-2,Article,,,63RD ASMS Conference on Mass Spectrometry and Allied Topics
"Practical Implementation Aspects
Regarding Real-World Application
of Hybrid Intelligent Systems",Computational Intelligence,,,,10.1007/978-3-540-32369-3_6,Professor Mircea Gh. NegoitaDr. Daniel NeaguDr. Vasile Palade,2005,http://link.springer.com/chapter/10.1007/978-3-540-32369-3_6,Chapter,"This chapter is focussed on the application aspects of HISengineering. The main application areas of HIS are mentioned. A lot of outstanding applications could be reviewed, but this is beyond the topic of this book. We tried to introduce just some special original applications. On the other hand, this chapter will also be focused on some combined approaches which involve the main CI/AI techniques, but at the same time are both fundamental and with a very large applicability.","Mircea Gh. Negoita, Daniel Neagu, Vasile Palade",
Abstracts der 24. Jahrestagung der DGSM,Somnologie,,20,1,10.1007/s11818-016-0087-z,,2016,http://link.springer.com/article/10.1007/s11818-016-0087-z,Article,,,Abstracts der 24. Jahrestagung der DGSM
Abstracts_Poster presentations,European Journal of Nuclear Medicine and Molecular Imaging,,34,2,10.1007/s00259-007-0544-9,,2007,http://link.springer.com/article/10.1007/s00259-007-0544-9,Article,,,Abstracts_Poster presentations
Soft Computing Based Decision Making and DSS,Soft Computing and its Applications in Business and Economics,,,,10.1007/978-3-540-44429-9_5,Professor Rafik Aziz AlievProfessor Bijan FazlollahiProfessor Rashad Rafik Aliev,2004,http://link.springer.com/chapter/10.1007/978-3-540-44429-9_5,Chapter,,"Rafik Aziz Aliev, Bijan Fazlollahi, Rashad Rafik Aliev",
42nd EASD Annual Meeting of the European Association for the Study of Diabetes,Diabetologia,,49,1,10.1007/s00125-006-0358-5,,2006,http://link.springer.com/article/10.1007/s00125-006-0358-5,Article,,,42nd EASD Annual Meeting of the European Association for the Study of Diabetes
Abstracts of Documents in This Supplement,Political Science Abstracts,,,,10.1007/978-1-4615-5971-9_1,,1997,http://link.springer.com/chapter/10.1007/978-1-4615-5971-9_1,Chapter,,IFI/Plenum Data Company,
Abstracts from the 9th Biennial Scientific Meeting of the Asia Pacific Paediatric Endocrine Society (APPES) and the 50th Annual Meeting of the Japanese Society for Pediatric Endocrinology (JSPE),International Journal of Pediatric Endocrinology,,2017,1,10.1186/s13633-017-0054-x,,2017,http://link.springer.com/article/10.1186/s13633-017-0054-x,Article,"Attempts to deal with the obesity epidemic based solely on adult behavioural change have been rather disappointing. Indeed the evidence that biological, developmental and contextual factors are operating from the earliest stages in development and indeed across generations is compelling. The marked individual differences in the sensitivity to the obesogenic environment need to be understood at both the individual and population level. There is considerable evidence showing that the fetus and neonate are affected by the environment created by its mother and these have longer-term metabolic consequences including obesity and the implications for non-communicable disease (NCD). But while this evidence emerged over 30 years ago, it is only in the past 5 years it has gained traction in the policy domain. A number of barriers, both scientific and societal, existed to the incorporation of this knowledge into public policy. These barriers included an over-simplistic understanding of the phenomenon, a failure to appreciate its normative nature and multiple mechanisms that are best understood in a evolutionary medicine context, a lack of compelling biological mechanistic explanations and estimates of the size of the developmental component. These issues have largely been addressed to the extent needed for policy recommendations although there are areas of research that need further promotion - in particular those related to the development of eating behaviours and satiety control. However in part because of the Millennium Development Goals that brought an emphasis to maternal and girls' health and because of scientific progress as reflected in the "" first 1000 days"" movement, the first recognition of the developmental and epigenetic component to obesity was noted in the political declaration of the UN General Assembly in 2011. This led the WHO and an increasing number of governments to start to formulate developmental strategies to confront obesity. The World Health Assembly in May 2016 adopted the report of the Commission on Ending Childhood Obesity and this has major implications for national and global health policy. I will discuss these developments from both a scientific and public policy perspective.",,Abstracts from the 9th Biennial Scientific Meeting of the Asia Pacific Paediatric Endocrine Society (APPES) and the 50th Annual Meeting of the Japanese Society for Pediatric Endocrinology (JSPE)
Intelligent drowsy eye detection using image mining,Information Systems Frontiers,,17,4,10.1007/s10796-013-9481-2,Ahmed Emam,2015,http://link.springer.com/article/10.1007/s10796-013-9481-2,Article,"Cell phones, MP4 players, and GPS all distract drivers, forcing them to divide their attention to what is happening outside and what is happening inside the vehicle. Preventing drivers from falling asleep at the wheel and drifting off on the road is an increasingly hard task but a solution can be achieved with today's technology: by capturing driver's eye gaze and thus the level of their exhaustion, the potential for safer roads is real. Today, image mining systems can automatically extract important information from an image dataset which can then be used to classify images and image relationship that been applied in different areas. The basic challenge in image mining research area is to determine how image level pixel representation in an original image can be used and constructed to then identify meaningful information or form relationships. In this research Intelligent Drowsy Eye Detection, using an Image Mining (IDEDIM) system is proposed. The proposed architecture would use different feature extraction techniques and three data mining classification techniques to aid with accurate information collection. Two thousand left and right eye images were used to test the developed system by Discrete Wavelet Transform (DWT), Statistical features, and Local binary pattern (LBP) feature extraction techniques. The extracted features were used as input for Decisions Tree C5.0, K Nearest Neighbor (KNN), and the Support Vector Machine (SVM) Classifier. After several experimental sets, the C5.0 and KNN classifier were performing better than SVM classifier. Based on the results, we recommend the inclusion of LBP and DWT in conjunction with C5.0 with KNN as a classification technique. To validate the achieved results, Receiver Operating Characteristic (ROC) curve is used to compare among the proposed classifiers. The proposed system can be integrated with the existing subsystem into real time Drowsy Detection System to achieve excellent accuracy and performance.",Ahmed Emam,Intelligent drowsy eye detection using image mining
